iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
1178,-0.591247,-0.533975,-0.912306,2.329124,2.439053,-2.828885,-2.174359,14.087333,237.265987
1179,-0.590032,-0.534762,-0.910858,2.334796,2.444993,-2.834091,-2.056315,13.929788,237.356739
1180,-0.588693,-0.535671,-0.909165,2.341290,2.451793,-2.839987,-1.924343,13.748362,237.460643
1181,-0.587279,-0.536682,-0.907259,2.348447,2.459288,-2.846407,-1.782802,13.547220,237.575152
1182,-0.585842,-0.537770,-0.905178,2.356084,2.467285,-2.853169,-1.636240,13.331320,237.697343
1183,-0.584431,-0.538910,-0.902971,2.364001,2.475576,-2.860081,-1.489126,13.106254,237.824021
1184,-0.583085,-0.540069,-0.900695,2.371989,2.483942,-2.866955,-1.345625,12.878045,237.951832
1185,-0.581841,-0.541217,-0.898413,2.379836,2.492159,-2.873612,-1.209431,12.652913,238.077381
1186,-0.580722,-0.542322,-0.896190,2.387335,2.500011,-2.879883,-1.083648,12.437015,238.197355
1187,-0.579745,-0.543353,-0.894093,2.394290,2.507294,-2.885623,-0.970746,12.236198,238.308637
1188,-0.578917,-0.544283,-0.892184,2.400526,2.513825,-2.890706,-0.872561,12.055753,238.408419
1189,-0.578242,-0.545086,-0.890520,2.405894,2.519446,-2.895034,-0.790341,11.900213,238.494299
1190,-0.577717,-0.545744,-0.889149,2.410273,2.524032,-2.898533,-0.724808,11.773176,238.564369
1191,-0.577335,-0.546242,-0.888105,2.413580,2.527495,-2.901156,-0.676240,11.677185,238.617280
1192,-0.577089,-0.546572,-0.887410,2.415768,2.529787,-2.902882,-0.644534,11.613643,238.652291
1193,-0.576971,-0.546732,-0.887072,2.416831,2.530899,-2.903718,-0.629258,11.582776,238.669295
1194,-0.576975,-0.546728,-0.887081,2.416802,2.530869,-2.903695,-0.629680,11.583630,238.668825
1195,-0.577091,-0.546569,-0.887415,2.415752,2.529769,-2.902869,-0.644770,11.614119,238.652029
1196,-0.577311,-0.546273,-0.888038,2.413790,2.527715,-2.901322,-0.673185,11.671093,238.620637
1197,-0.577625,-0.545862,-0.888902,2.411056,2.524852,-2.899155,-0.713240,11.750457,238.576894
1198,-0.578021,-0.545360,-0.889950,2.407718,2.521356,-2.896495,-0.762877,11.847313,238.523484
1199,-0.578481,-0.544797,-0.891120,2.403965,2.517426,-2.893484,-0.819650,11.956139,238.463433
1200,-0.578985,-0.544204,-0.892346,2.400000,2.513274,-2.890279,-0.880735,12.070991,238.400000
1201,-0.579508,-0.543613,-0.893561,2.396035,2.509122,-2.887051,-0.942974,12.185723,238.336567
1202,-0.580021,-0.543055,-0.894702,2.392282,2.505192,-2.883973,-1.002965,12.294214,238.276516
1203,-0.580490,-0.542560,-0.895708,2.388944,2.501696,-2.881218,-1.057202,12.390591,238.223106
1204,-0.580885,-0.542156,-0.896526,2.386210,2.498833,-2.878948,-1.102241,12.469435,238.179363
1205,-0.581174,-0.541866,-0.897110,2.384248,2.496779,-2.877312,-1.134910,12.525966,238.147971
1206,-0.581331,-0.541712,-0.897421,2.383198,2.495680,-2.876434,-1.152508,12.556193,238.131175
1207,-0.581335,-0.541707,-0.897430,2.383169,2.495649,-2.876410,-1.153002,12.557040,238.130705
1208,-0.581177,-0.541864,-0.897115,2.384232,2.496762,-2.877298,-1.135184,12.526437,238.147709
1209,-0.580855,-0.542187,-0.896463,2.386420,2.499053,-2.879123,-1.098765,12.463387,238.182720
1210,-0.580379,-0.542676,-0.895473,2.389727,2.502516,-2.881865,-1.044408,12.368000,238.235631
1211,-0.579770,-0.543326,-0.894149,2.394106,2.507102,-2.885472,-0.973679,12.241504,238.305701
1212,-0.579054,-0.544126,-0.892508,2.399474,2.512723,-2.889852,-0.888929,12.086226,238.391581
1213,-0.578265,-0.545059,-0.890577,2.405710,2.519254,-2.894887,-0.793117,11.905535,238.491363
1214,-0.577439,-0.546104,-0.888394,2.412665,2.526537,-2.900432,-0.689595,11.703741,238.602645
1215,-0.576612,-0.547236,-0.886006,2.420164,2.534389,-2.906328,-0.581876,11.485957,238.722619
1216,-0.575815,-0.548426,-0.883471,2.428011,2.542607,-2.912409,-0.473412,11.257916,238.848168
1217,-0.575075,-0.549642,-0.880852,2.435999,2.550972,-2.918505,-0.367404,11.025749,238.975979
1218,-0.574413,-0.550852,-0.878221,2.443916,2.559263,-2.924454,-0.266659,10.795747,239.102657
1219,-0.573839,-0.552022,-0.875650,2.451553,2.567260,-2.930105,-0.173494,10.574105,239.224848
1220,-0.573359,-0.553122,-0.873214,2.458710,2.574755,-2.935323,-0.089706,10.366685,239.339357
1221,-0.572971,-0.554122,-0.870981,2.465204,2.581555,-2.939994,-0.016580,10.178790,239.443261
1222,-0.572668,-0.554997,-0.869013,2.470876,2.587495,-2.944025,0.045063,10.014975,239.534013
1223,-0.572442,-0.555726,-0.867365,2.475596,2.592438,-2.947343,0.094797,9.878900,239.609531
1224,-0.572283,-0.556293,-0.866075,2.479267,2.596283,-2.949902,0.132512,9.773221,239.668275
1225,-0.572179,-0.556690,-0.865171,2.481831,2.598967,-2.951678,0.158349,9.699517,239.709296
1226,-0.572124,-0.556912,-0.864663,2.483267,2.600471,-2.952669,0.172644,9.658266,239.732275
1227,-0.572112,-0.556963,-0.864547,2.483596,2.600815,-2.952895,0.175896,9.648833,239.737531
1228,-0.572139,-0.556851,-0.864802,2.482876,2.600061,-2.952399,0.168761,9.669505,239.726013
1229,-0.572204,-0.556593,-0.865392,2.481204,2.598311,-2.951244,0.152066,9.717540,239.699261
1230,-0.572306,-0.556207,-0.866271,2.478710,2.595699,-2.949515,0.126840,9.789254,239.659357
1231,-0.572444,-0.555719,-0.867380,2.475553,2.592393,-2.947313,0.094353,9.880131,239.608848
1232,-0.572616,-0.555158,-0.868651,2.471916,2.588584,-2.944759,0.056146,9.984965,239.550657
1233,-0.572817,-0.554553,-0.870013,2.467999,2.584482,-2.941986,0.014053,10.098033,239.487979
1234,-0.573039,-0.553938,-0.871393,2.464011,2.580306,-2.939141,-0.029812,10.213290,239.424168
1235,-0.573268,-0.553346,-0.872716,2.460164,2.576277,-2.936374,-0.073096,10.324590,239.362619
1236,-0.573490,-0.552808,-0.873913,2.456665,2.572614,-2.933840,-0.113297,10.425905,239.306645
1237,-0.573688,-0.552354,-0.874919,2.453710,2.569519,-2.931686,-0.147883,10.511552,239.259363
1238,-0.573844,-0.552010,-0.875677,2.451474,2.567177,-2.930047,-0.174440,10.576401,239.223581
1239,-0.573943,-0.551800,-0.876140,2.450106,2.565745,-2.929041,-0.190843,10.616070,239.201701
1240,-0.573970,-0.551742,-0.876268,2.449727,2.565348,-2.928761,-0.195415,10.627076,239.195631
1241,-0.573920,-0.551848,-0.876034,2.450420,2.566074,-2.929272,-0.187069,10.606969,239.206720
1242,-0.573791,-0.552127,-0.875420,2.452232,2.567971,-2.930603,-0.165401,10.554417,239.235709
1243,-0.573589,-0.552578,-0.874423,2.455169,2.571047,-2.932751,-0.130737,10.469263,239.282705
1244,-0.573328,-0.553197,-0.873047,2.459198,2.575267,-2.935677,-0.084108,10.352535,239.347175
1245,-0.573025,-0.553975,-0.871311,2.464248,2.580555,-2.939311,-0.027169,10.206418,239.427971
1246,-0.572702,-0.554894,-0.869245,2.470210,2.586798,-2.943554,0.037936,10.034183,239.523363
1247,-0.572382,-0.555934,-0.866892,2.476944,2.593850,-2.948285,0.108746,9.840070,239.631106
1248,-0.572087,-0.557069,-0.864304,2.484282,2.601534,-2.953367,0.182670,9.629127,239.748516
1249,-0.571835,-0.558269,-0.861544,2.492035,2.609653,-2.958654,0.257168,9.407009,239.872567
1250,-0.571639,-0.559503,-0.858684,2.500000,2.617994,-2.963996,0.329907,9.179752,240.000000
1251,-0.571506,-0.560738,-0.855798,2.507965,2.626334,-2.969250,0.398883,8.953528,240.127433
1252,-0.571435,-0.561941,-0.852966,2.515718,2.634453,-2.974280,0.462486,8.734397,240.251484
1253,-0.571422,-0.563079,-0.850267,2.523056,2.642138,-2.978963,0.519529,8.528076,240.368894
1254,-0.571455,-0.564123,-0.847774,2.529790,2.649190,-2.983197,0.569228,8.339734,240.476637
1255,-0.571519,-0.565047,-0.845554,2.535752,2.655433,-2.986893,0.611154,8.173820,240.572029
1256,-0.571599,-0.565829,-0.843666,2.540802,2.660721,-2.989986,0.645165,8.033942,240.652825
1257,-0.571679,-0.566453,-0.842154,2.544831,2.664941,-2.992429,0.671332,7.922771,240.717295
1258,-0.571747,-0.566907,-0.841049,2.547768,2.668017,-2.994196,0.689868,7.841988,240.764291
1259,-0.571793,-0.567188,-0.840367,2.549580,2.669914,-2.995281,0.701078,7.792268,240.793280
1260,-0.571811,-0.567295,-0.840105,2.550273,2.670640,-2.995694,0.705321,7.773271,240.804369
1261,-0.571801,-0.567236,-0.840248,2.549894,2.670242,-2.995468,0.703002,7.783667,240.798299
1262,-0.571766,-0.567025,-0.840764,2.548526,2.668810,-2.994651,0.694579,7.821176,240.776419
1263,-0.571712,-0.566679,-0.841606,2.546290,2.666468,-2.993308,0.680595,7.882620,240.740637
1264,-0.571648,-0.566221,-0.842716,2.543335,2.663374,-2.991524,0.661715,7.964006,240.693355
1265,-0.571582,-0.565680,-0.844028,2.539836,2.659710,-2.989397,0.638770,8.060632,240.637381
1266,-0.571522,-0.565084,-0.845466,2.535989,2.655682,-2.987039,0.612785,8.167223,240.575832
1267,-0.571475,-0.564466,-0.846952,2.532001,2.651506,-2.984573,0.585005,8.278097,240.512021
1268,-0.571442,-0.563858,-0.848406,2.528084,2.647403,-2.982130,0.556875,8.387352,240.449343
1269,-0.571425,-0.563294,-0.849753,2.524447,2.643595,-2.979843,0.530002,8.489088,240.391152
1270,-0.571421,-0.562805,-0.850918,2.521290,2.640289,-2.977843,0.506080,8.577621,240.340643
1271,-0.571424,-0.562418,-0.851836,2.518796,2.637677,-2.976253,0.486786,8.647711,240.300739
1272,-0.571429,-0.562159,-0.852450,2.517124,2.635926,-2.975183,0.473654,8.694770,240.273987
1273,-0.571432,-0.562047,-0.852714,2.516404,2.635172,-2.974721,0.467952,8.715049,240.262469
1274,-0.571430,-0.562098,-0.852594,2.516733,2.635516,-2.974932,0.470558,8.705793,240.267725
1275,-0.571425,-0.562321,-0.852067,2.518169,2.637020,-2.975852,0.481879,8.665357,240.290704
1276,-0.571421,-0.562718,-0.851123,2.520733,2.639705,-2.977489,0.501798,8.593274,240.331725
1277,-0.571425,-0.563288,-0.849769,2.524404,2.643550,-2.979816,0.529682,8.490285,240.390469
1278,-0.571450,-0.564020,-0.848021,2.529124,2.648493,-2.982781,0.564427,8.358306,240.465987
1279,-0.571506,-0.564899,-0.845911,2.534796,2.654432,-2.986304,0.604564,8.200359,240.556739
1280,-0.571608,-0.565905,-0.843483,2.541290,2.661233,-2.990283,0.648385,8.020439,240.660643
1281,-0.571764,-0.567012,-0.840794,2.548447,2.668727,-2.994603,0.694088,7.823349,240.775152
1282,-0.571981,-0.568193,-0.837909,2.556084,2.676725,-2.999137,0.739925,7.614492,240.897343
1283,-0.572260,-0.569416,-0.834902,2.564001,2.685016,-3.003755,0.784320,7.399633,241.024021
1284,-0.572597,-0.570648,-0.831854,2.571989,2.693381,-3.008330,0.825963,7.184661,241.151832
1285,-0.572981,-0.571855,-0.828847,2.579836,2.701598,-3.012742,0.863865,6.975344,241.277381
1286,-0.573396,-0.573007,-0.825963,2.587335,2.709451,-3.016883,0.897371,6.777111,241.397355
1287,-0.573822,-0.574073,-0.823278,2.594290,2.716734,-3.020658,0.926136,6.594863,241.508637
1288,-0.574237,-0.575027,-0.820865,2.600526,2.723265,-3.023990,0.950078,6.432823,241.608419
1289,-0.574620,-0.575847,-0.818783,2.605894,2.728886,-3.026818,0.969312,6.294429,241.694299
1290,-0.574948,-0.576515,-0.817082,2.610273,2.733472,-3.029098,0.984082,6.182264,241.764369
1291,-0.575207,-0.577019,-0.815796,2.613580,2.736935,-3.030803,0.994693,6.098021,241.817280
1292,-0.575382,-0.577351,-0.814944,2.615768,2.739226,-3.031924,1.001462,6.042496,241.852291
1293,-0.575469,-0.577513,-0.814530,2.616831,2.740339,-3.032466,1.004677,6.015591,241.869295
1294,-0.575466,-0.577508,-0.814542,2.616802,2.740308,-3.032451,1.004589,6.016335,241.868825
1295,-0.575381,-0.577349,-0.814950,2.615752,2.739209,-3.031915,1.001412,6.042910,241.852029
1296,-0.575223,-0.577050,-0.815714,2.613790,2.737154,-3.030911,0.995351,6.092689,241.820637
1297,-0.575009,-0.576634,-0.816778,2.611056,2.734291,-3.029503,0.986636,6.162286,241.776894
1298,-0.574755,-0.576125,-0.818075,2.607718,2.730796,-3.027771,0.975564,6.247628,241.723484
1299,-0.574480,-0.575553,-0.819532,2.603965,2.726865,-3.025806,0.962543,6.344055,241.663433
1300,-0.574201,-0.574947,-0.821069,2.600000,2.722714,-3.023711,0.948124,6.446445,241.600000
1301,-0.573935,-0.574341,-0.822603,2.596035,2.718562,-3.021596,0.933012,6.549374,241.536567
1302,-0.573695,-0.573766,-0.824054,2.592282,2.714632,-3.019575,0.918059,6.647305,241.476516
1303,-0.573491,-0.573254,-0.825342,2.588944,2.711136,-3.017762,0.904223,6.734798,241.423106
1304,-0.573331,-0.572834,-0.826396,2.586210,2.708273,-3.016267,0.892513,6.806725,241.379363
1305,-0.573220,-0.572533,-0.827151,2.584248,2.706218,-3.015187,0.883896,6.858492,241.347971
1306,-0.573161,-0.572372,-0.827555,2.583198,2.705119,-3.014608,0.879213,6.886239,241.331175
1307,-0.573160,-0.572367,-0.827567,2.583169,2.705088,-3.014592,0.879081,6.887017,241.330705
1308,-0.573219,-0.572531,-0.827158,2.584232,2.706201,-3.015178,0.883824,6.858924,241.347709
1309,-0.573343,-0.572867,-0.826315,2.586420,2.708493,-3.016382,0.893424,6.801196,241.382720
1310,-0.573538,-0.573374,-0.825040,2.589727,2.711956,-3.018189,0.907513,6.714247,241.435631
1311,-0.573810,-0.574045,-0.823349,2.594106,2.716542,-3.020560,0.925405,6.599652,241.505701
1312,-0.574165,-0.574867,-0.821273,2.599474,2.722163,-3.023432,0.946159,6.460075,241.591581
1313,-0.574606,-0.575819,-0.818854,2.605710,2.728693,-3.026722,0.968675,6.299145,241.691363
1314,-0.575134,-0.576879,-0.816152,2.612665,2.735977,-3.030333,0.991804,6.121283,241.802645
1315,-0.575746,-0.578019,-0.813231,2.620164,2.743829,-3.034156,1.014456,5.931492,241.922619
1316,-0.576431,-0.579209,-0.810170,2.628011,2.752046,-3.038081,1.035688,5.735130,242.048168
1317,-0.577177,-0.580416,-0.807048,2.635999,2.760411,-3.041997,1.054778,5.537661,242.175979
1318,-0.577962,-0.581609,-0.803950,2.643916,2.768702,-3.045799,1.071259,5.344432,242.302657
1319,-0.578762,-0.582755,-0.800959,2.651553,2.776700,-3.049393,1.084923,5.160456,242.424848
1320,-0.579549,-0.583826,-0.798154,2.658710,2.784194,-3.052695,1.095794,4.990246,242.539357
1321,-0.580294,-0.584795,-0.795609,2.665204,2.790995,-3.055636,1.104085,4.837683,242.643261
1322,-0.580968,-0.585638,-0.793386,2.670876,2.796935,-3.058163,1.110133,4.705923,242.734013
1323,-0.581546,-0.586338,-0.791536,2.675596,2.801877,-3.060236,1.114336,4.597358,242.809531
1324,-0.582006,-0.586882,-0.790098,2.679267,2.805722,-3.061829,1.117095,4.513594,242.868275
1325,-0.582332,-0.587260,-0.789093,2.681831,2.808407,-3.062932,1.118761,4.455460,242.909296
1326,-0.582517,-0.587472,-0.788531,2.683267,2.809911,-3.063547,1.119601,4.423025,242.932275
1327,-0.582559,-0.587521,-0.788402,2.683596,2.810255,-3.063687,1.119784,4.415618,242.937531
1328,-0.582467,-0.587415,-0.788684,2.682876,2.809501,-3.063380,1.119379,4.431854,242.926013
1329,-0.582252,-0.587168,-0.789339,2.681204,2.807750,-3.062663,1.118373,4.469654,242.899261
1330,-0.581936,-0.586799,-0.790316,2.678710,2.805138,-3.061589,1.116705,4.526271,242.859357
1331,-0.581541,-0.586332,-0.791553,2.675553,2.801833,-3.060217,1.114302,4.598336,242.808848
1332,-0.581094,-0.585792,-0.792978,2.671916,2.798024,-3.058622,1.111123,4.681911,242.750657
1333,-0.580623,-0.585210,-0.794513,2.667999,2.793922,-3.056886,1.107203,4.772582,242.687979
1334,-0.580155,-0.584617,-0.796076,2.664011,2.789745,-3.055100,1.102672,4.865580,242.624168
1335,-0.579713,-0.584043,-0.797584,2.660164,2.785717,-3.053358,1.097779,4.955933,242.562619
1336,-0.579320,-0.583520,-0.798955,2.656665,2.782053,-3.051758,1.092877,5.038650,242.506645
1337,-0.578995,-0.583078,-0.800113,2.653710,2.778959,-3.050395,1.088394,5.108925,242.459363
1338,-0.578753,-0.582743,-0.800990,2.651474,2.776617,-3.049356,1.084793,5.162351,242.423581
1339,-0.578607,-0.582538,-0.801525,2.650106,2.775185,-3.048718,1.082500,5.195122,242.401701
1340,-0.578567,-0.582481,-0.801674,2.649727,2.774788,-3.048540,1.081852,5.204227,242.395631
1341,-0.578640,-0.582585,-0.801402,2.650420,2.775513,-3.048864,1.083032,5.187597,242.406720
1342,-0.578835,-0.582857,-0.800693,2.652232,2.777411,-3.049709,1.086034,5.144219,242.435709
1343,-0.579155,-0.583297,-0.799542,2.655169,2.780487,-3.051069,1.090646,5.074186,242.482705
1344,-0.579604,-0.583899,-0.797962,2.659198,2.784706,-3.052918,1.096470,4.978703,242.547175
1345,-0.580182,-0.584652,-0.795983,2.664248,2.789994,-3.055207,1.102958,4.860019,242.627971
1346,-0.580888,-0.585539,-0.793646,2.670210,2.796238,-3.057869,1.109480,4.721312,242.723363
1347,-0.581714,-0.586538,-0.791008,2.676944,2.803289,-3.060823,1.115401,4.566524,242.831106
1348,-0.582648,-0.587622,-0.788134,2.684282,2.810974,-3.063980,1.120155,4.400157,242.948516
1349,-0.583674,-0.588763,-0.785100,2.692035,2.819093,-3.067244,1.123313,4.227044,243.072567
1350,-0.584768,-0.589931,-0.781986,2.700000,2.827433,-3.070522,1.124626,4.052119,243.200000
1351,-0.585901,-0.591093,-0.778878,2.707965,2.835774,-3.073724,1.124049,3.880194,243.327433
1352,-0.587042,-0.592219,-0.775858,2.715718,2.843893,-3.076769,1.121737,3.715762,243.451484
1353,-0.588156,-0.593280,-0.773006,2.723056,2.851577,-3.079584,1.118012,3.562841,243.568894
1354,-0.589206,-0.594250,-0.770394,2.729790,2.858629,-3.082113,1.113324,3.424863,243.676637
1355,-0.590158,-0.595105,-0.768087,2.735752,2.864873,-3.084306,1.108191,3.304604,243.772029
1356,-0.590980,-0.595827,-0.766137,2.740802,2.870161,-3.086132,1.103142,3.204159,243.852825
1357,-0.591647,-0.596402,-0.764583,2.744831,2.874380,-3.087568,1.098664,3.124948,243.917295
1358,-0.592139,-0.596819,-0.763453,2.747768,2.877456,-3.088602,1.095152,3.067736,243.964291
1359,-0.592444,-0.597077,-0.762756,2.749580,2.879353,-3.089235,1.092884,3.032668,243.993280
