iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
89,-0.748388,-0.779481,-1.014379,-0.466003,0.621337,0.152091,-3.569147,7.391345,294.500000
90,-0.750368,-0.781104,-1.018687,-0.471239,0.628319,0.155697,-3.671333,7.527209,295.000000
91,-0.752372,-0.782740,-1.022990,-0.476475,0.635300,0.159352,-3.775509,7.663138,295.500000
92,-0.754403,-0.784391,-1.027286,-0.481711,0.642281,0.163054,-3.881696,7.799079,296.000000
93,-0.756459,-0.786055,-1.031575,-0.486947,0.649262,0.166805,-3.989913,7.934979,296.500000
94,-0.758541,-0.787735,-1.035857,-0.492183,0.656244,0.170604,-4.100179,8.070787,297.000000
95,-0.760649,-0.789429,-1.040131,-0.497419,0.663225,0.174452,-4.212513,8.206447,297.500000
96,-0.762783,-0.791139,-1.044396,-0.502655,0.670206,0.178350,-4.326934,8.341905,298.000000
97,-0.764943,-0.792864,-1.048653,-0.507891,0.677188,0.182297,-4.443459,8.477106,298.500000
98,-0.767129,-0.794605,-1.052901,-0.513127,0.684169,0.186293,-4.562107,8.611994,299.000000
99,-0.769342,-0.796363,-1.057139,-0.518363,0.691150,0.190340,-4.682894,8.746511,299.500000
100,-0.771582,-0.798138,-1.061366,-0.523599,0.698132,0.194436,-4.805837,8.880601,300.000000
