iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
912,-0.500006,-1.096490,-0.636471,4.590273,2.884154,2.913544,22.986517,-13.117616,241.805461
913,-0.499922,-1.097158,-0.637990,4.593362,2.886094,2.914568,23.115895,-13.066385,241.867232
914,-0.499858,-1.097672,-0.639173,4.595752,2.887596,2.915366,23.216012,-13.026323,241.915036
915,-0.499812,-1.098047,-0.640045,4.597508,2.888699,2.915956,23.289563,-12.996659,241.950158
916,-0.499781,-1.098303,-0.640643,4.598710,2.889455,2.916361,23.339899,-12.976243,241.974196
917,-0.499763,-1.098460,-0.641013,4.599451,2.889920,2.916612,23.370939,-12.963607,241.989019
918,-0.499753,-1.098542,-0.641205,4.599836,2.890162,2.916742,23.387077,-12.957023,241.996726
919,-0.499749,-1.098572,-0.641277,4.599979,2.890252,2.916790,23.393072,-12.954575,241.999589
920,-0.499749,-1.098577,-0.641287,4.600000,2.890265,2.916797,23.393932,-12.954224,242.000000
921,-0.499748,-1.098581,-0.641298,4.600021,2.890278,2.916804,23.394792,-12.953872,242.000411
922,-0.499745,-1.098611,-0.641369,4.600164,2.890368,2.916853,23.400786,-12.951423,242.003274
923,-0.499735,-1.098693,-0.641562,4.600549,2.890610,2.916984,23.416924,-12.944822,242.010981
924,-0.499716,-1.098849,-0.641933,4.601290,2.891076,2.917235,23.447961,-12.932099,242.025804
925,-0.499687,-1.099102,-0.642536,4.602492,2.891831,2.917645,23.498288,-12.911392,242.049842
926,-0.499644,-1.099470,-0.643419,4.604248,2.892934,2.918245,23.571817,-12.880972,242.084964
927,-0.499587,-1.099968,-0.644626,4.606638,2.894436,2.919067,23.671883,-12.839248,242.132768
928,-0.499516,-1.100606,-0.646193,4.609727,2.896377,2.920136,23.801165,-12.784789,242.194539
929,-0.499432,-1.101390,-0.648151,4.613561,2.898786,2.921476,23.961609,-12.716328,242.271218
930,-0.499335,-1.102320,-0.650523,4.618169,2.901681,2.923104,24.154383,-12.632780,242.363380
931,-0.499230,-1.103391,-0.653323,4.623561,2.905069,2.925034,24.379841,-12.533258,242.471218
932,-0.499119,-1.104593,-0.656559,4.629727,2.908943,2.927274,24.637510,-12.417102,242.594539
933,-0.499007,-1.105911,-0.660228,4.636638,2.913286,2.929828,24.926095,-12.283905,242.732768
934,-0.498899,-1.107325,-0.664319,4.644248,2.918067,2.932691,25.243510,-12.133550,242.884964
935,-0.498801,-1.108814,-0.668811,4.652492,2.923247,2.935856,25.586929,-11.966249,243.049842
936,-0.498718,-1.110351,-0.673674,4.661290,2.928775,2.939307,25.952850,-11.782579,243.225804
937,-0.498655,-1.111910,-0.678868,4.670549,2.934593,2.943020,26.337191,-11.583516,243.410981
938,-0.498616,-1.113465,-0.684344,4.680164,2.940634,2.946967,26.735396,-11.370458,243.603274
939,-0.498605,-1.114989,-0.690045,4.690021,2.946827,2.951109,27.142556,-11.145239,243.800411
940,-0.498624,-1.116459,-0.695905,4.700000,2.953097,2.955405,27.553547,-10.910121,244.000000
941,-0.498674,-1.117853,-0.701853,4.709979,2.959367,2.959804,27.963162,-10.667770,244.199589
942,-0.498754,-1.119155,-0.707814,4.719836,2.965561,2.964252,28.366262,-10.421203,244.396726
943,-0.498861,-1.120351,-0.713711,4.729451,2.971602,2.968691,28.757909,-10.173720,244.589019
944,-0.498993,-1.121432,-0.719464,4.738710,2.977419,2.973061,29.133496,-9.928802,244.774196
945,-0.499145,-1.122395,-0.724999,4.747508,2.982947,2.977301,29.488864,-9.690004,244.950158
946,-0.499310,-1.123238,-0.730244,4.755752,2.988127,2.981352,29.820398,-9.460823,245.115036
947,-0.499483,-1.123966,-0.735137,4.763362,2.992908,2.985161,30.125112,-9.244560,245.267232
948,-0.499657,-1.124583,-0.739622,4.770273,2.997251,2.988677,30.400704,-9.044187,245.405461
949,-0.499827,-1.125099,-0.743656,4.776439,3.001125,2.991861,30.645597,-8.862217,245.528782
950,-0.499986,-1.125522,-0.747210,4.781831,3.004513,2.994682,30.858959,-8.700594,245.636620
951,-0.500130,-1.125864,-0.750265,4.786439,3.007408,2.997120,31.040704,-8.560604,245.728782
952,-0.500256,-1.126133,-0.752821,4.790273,3.009817,2.999167,31.191482,-8.442816,245.805461
953,-0.500361,-1.126340,-0.754888,4.793362,3.011758,3.000830,31.312651,-8.347057,245.867232
954,-0.500444,-1.126495,-0.756493,4.795752,3.013260,3.002124,31.406238,-8.272413,245.915036
955,-0.500507,-1.126605,-0.757675,4.797508,3.014363,3.003080,31.474893,-8.217272,245.950158
956,-0.500551,-1.126679,-0.758485,4.798710,3.015118,3.003736,31.521830,-8.179387,245.974196
957,-0.500578,-1.126724,-0.758985,4.799451,3.015584,3.004141,31.550754,-8.155964,245.989019
958,-0.500592,-1.126747,-0.759246,4.799836,3.015826,3.004352,31.565786,-8.143769,245.996726
959,-0.500598,-1.126755,-0.759342,4.799979,3.015916,3.004431,31.571369,-8.139235,245.999589
960,-0.500598,-1.126756,-0.759356,4.800000,3.015929,3.004442,31.572170,-8.138585,246.000000
961,-0.500599,-1.126758,-0.759370,4.800021,3.015942,3.004453,31.572971,-8.137934,246.000411
962,-0.500604,-1.126766,-0.759467,4.800164,3.016032,3.004532,31.578553,-8.133398,246.003274
963,-0.500619,-1.126789,-0.759727,4.800549,3.016274,3.004743,31.593577,-8.121180,246.010981
964,-0.500646,-1.126833,-0.760229,4.801290,3.016740,3.005150,31.622461,-8.097644,246.025804
965,-0.500692,-1.126902,-0.761043,4.802492,3.017495,3.005812,31.669265,-8.059383,246.049842
966,-0.500759,-1.127001,-0.762234,4.804248,3.018598,3.006782,31.737574,-8.003263,246.084964
967,-0.500852,-1.127132,-0.763859,4.806638,3.020100,3.008108,31.830398,-7.926467,246.132768
968,-0.500975,-1.127293,-0.765966,4.809727,3.022041,3.009832,31.950086,-7.826526,246.194539
969,-0.501134,-1.127479,-0.768592,4.813561,3.024450,3.011988,32.098248,-7.701353,246.271218
970,-0.501331,-1.127686,-0.771763,4.818169,3.027345,3.014605,32.275708,-7.549268,246.363380
971,-0.501573,-1.127901,-0.775493,4.823561,3.030733,3.017700,32.482472,-7.369031,246.471218
