iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
22,-0.22117,-0.231668,-0.28179,-0.115192,0.153589,0.008873,-0.159006,0.526123,111
23,-0.222212,-0.232584,-0.285507,-0.120428,0.16057,0.009701,-0.174214,0.574566,111.5
24,-0.22329,-0.233486,-0.289245,-0.125664,0.167552,0.010566,-0.190175,0.625076,112
25,-0.224404,-0.234374,-0.293002,-0.1309,0.174533,0.011468,-0.206898,0.677641,112.5
26,-0.225555,-0.235249,-0.296778,-0.136136,0.181514,0.012408,-0.224394,0.73225,113
27,-0.226742,-0.236111,-0.300573,-0.141372,0.188496,0.013386,-0.242673,0.78889,113.5
28,-0.227965,-0.236961,-0.304384,-0.146608,0.195477,0.014401,-0.261747,0.847549,114
29,-0.229226,-0.237798,-0.308212,-0.151844,0.202458,0.015453,-0.281627,0.908213,114.5
30,-0.230523,-0.238623,-0.312056,-0.15708,0.20944,0.016543,-0.302324,0.970868,115
31,-0.231857,-0.239436,-0.315914,-0.162316,0.216421,0.017671,-0.323852,1.035501,115.5
32,-0.233228,-0.240238,-0.319787,-0.167552,0.223402,0.018837,-0.346221,1.102095,116
33,-0.234636,-0.241029,-0.323672,-0.172788,0.230383,0.020041,-0.369447,1.170636,116.5
34,-0.236081,-0.241809,-0.32757,-0.178024,0.237365,0.021283,-0.39354,1.241108,117
35,-0.237564,-0.242579,-0.33148,-0.18326,0.244346,0.022564,-0.418517,1.313495,117.5
36,-0.239085,-0.243339,-0.335401,-0.188496,0.251327,0.023882,-0.444389,1.387779,118
37,-0.240643,-0.24409,-0.339332,-0.193732,0.258309,0.025239,-0.471173,1.463943,118.5
38,-0.242239,-0.244831,-0.343273,-0.198968,0.26529,0.026634,-0.498882,1.54197,119
39,-0.243873,-0.245563,-0.347223,-0.204204,0.272271,0.028068,-0.527531,1.62184,119.5
40,-0.245545,-0.246286,-0.35118,-0.20944,0.279253,0.029541,-0.557137,1.703534,120
41,-0.247256,-0.247001,-0.355145,-0.214675,0.286234,0.031052,-0.587714,1.787034,120.5
42,-0.249005,-0.247708,-0.359117,-0.219911,0.293215,0.032602,-0.619278,1.872319,121
43,-0.250792,-0.248408,-0.363095,-0.225147,0.300197,0.034192,-0.651847,1.959368,121.5
44,-0.252619,-0.2491,-0.367078,-0.230383,0.307178,0.03582,-0.685436,2.04816,122
